date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,outcome,home_advantage,scoreline,home_form,away_form,home_h2h,away_h2h,home_goals_scored,home_goals_conceded,away_goals_scored,away_goals_conceded,home_elo,away_elo,elo_diff,home_weighted_form,away_weighted_form,home_days_rest,away_days_rest,home_goal_diff,away_goal_diff,elo_closeness,form_closeness,combined_attack,combined_defence,expected_goals,home_under25_rate,away_under25_rate,home_clean_sheet_rate,away_clean_sheet_rate,combined_under25,combined_clean_sheets,draw_pressure_index,h2h_draw_rate
2018-02-26,Saudi Arabia,Moldova,3.0,0.0,Friendly,Jeddah,Saudi Arabia,False,2018,Home win,1,3.0-0.0,0.5,0.0,0.5,0.5,2.0,1.6,0.4,1.7,1646.065197478618,1324.9473846676785,321.11781281093954,0.47,0.0,90,27,0.3999999999999999,-1.2999999999999998,0.0031044542096991374,0.6666666666666666,2.4,3.3,2.8499999999999996,0.3,0.7,0.3,0.1,0.5,0.2,0.1,0.25
2018-02-28,Iraq,Saudi Arabia,4.0,1.0,Friendly,Basra,Iraq,False,2018,Home win,1,4.0-1.0,0.4,0.5,0.4,0.6,1.0,0.7,1.6,1.4,1692.753306751042,1657.9694666418586,34.7838401091833,0.375,0.474,90,2,0.30000000000000004,0.20000000000000018,0.027945575347665588,0.9090909090909091,2.6,2.0999999999999996,2.3499999999999996,0.8,0.3,0.3,0.4,0.55,0.35,0.192,0.2
2018-03-17,Iran,Sierra Leone,4.0,0.0,Friendly,Tehran,Iran,False,2018,Home win,1,4.0-0.0,0.7,0.4,0.5,0.5,1.4,0.5,1.4,1.4,1901.049236533567,1438.6335755753726,462.4156609581944,0.686,0.389,90,90,0.8999999999999999,0.0,0.002157889955493351,0.7692307692307694,2.8,1.9,2.3499999999999996,0.7,0.3,0.6,0.1,0.5,0.35,0.175,0.25
2018-03-21,Jordan,Kuwait,1.0,0.0,Friendly,Amman,Jordan,False,2018,Home win,1,1.0-0.0,0.3,0.3,0.125,0.875,1.7,0.8,1.5,1.0,1552.4847962565104,1476.4869969469412,75.99779930956925,0.256,0.261,69,90,0.8999999999999999,0.5,0.012987384171585285,1.0,3.2,1.8,2.5,0.6,0.6,0.5,0.5,0.6,0.5,0.3,0.5
2018-03-21,Iraq,Qatar,2.0,3.0,Friendly,Basra,Iraq,False,2018,Away win,1,2.0-3.0,0.5,0.4,0.2,0.8,1.3,0.7,1.4,1.5,1732.137810072318,1521.107469861288,211.03034021102985,0.477,0.367,21,90,0.6000000000000001,-0.10000000000000009,0.004716306161678176,0.9090909090909091,2.7,2.2,2.45,0.7,0.3,0.3,0.1,0.5,0.2,0.1,0.2
2018-03-21,South Africa,Angola,1.0,1.0,Friendly,Ndola,Zambia,True,2018,Draw,0,1.0-1.0,0.2,0.2,0.714,0.28600000000000003,1.2,1.4,0.5,1.1,1612.048196484377,1517.5580647592997,94.49013172507739,0.188,0.191,90,90,-0.19999999999999996,-0.6000000000000001,0.010472286318329398,1.0,1.7,2.5,2.1,0.4,0.8,0.1,0.4,0.6000000000000001,0.25,0.15,0.286
2018-03-21,Andorra,Liechtenstein,1.0,0.0,Friendly,La Línea de la Concepción,Spain,True,2018,Home win,0,1.0-0.0,0.1,0.1,0.5,0.5,0.2,2.3,0.4,3.1,1008.2754631318926,1174.8291244563347,-166.55366132444215,0.099,0.094,90,90,-2.0999999999999996,-2.7,0.005968237232749288,1.0,0.6000000000000001,5.4,3.0,0.5,0.3,0.2,0.0,0.4,0.1,0.04,0.25
2018-03-21,Tahiti,New Caledonia,0.0,0.0,Friendly,Pirae,Tahiti,False,2018,Draw,1,0.0-0.0,0.3,0.4,0.2,0.8,0.9,1.6,1.2,1.0,1439.3566624319358,1584.6314413924872,-145.27477896055143,0.284,0.388,90,90,-0.7000000000000001,0.19999999999999996,0.006836448546401072,0.9090909090909091,2.1,2.6,2.35,0.5,0.5,0.2,0.4,0.5,0.30000000000000004,0.15,0.2
2018-03-21,Laos,Cambodia,0.0,1.0,Friendly,Vientiane,Laos,False,2018,Away win,1,0.0-1.0,0.1,0.1,0.5,0.5,0.6,3.2,0.7,3.0,981.1311219699187,1144.3655422746408,-163.2344203047221,0.076,0.091,90,90,-2.6,-2.3,0.006088857610631136,1.0,1.2999999999999998,6.2,3.75,0.2,0.4,0.0,0.1,0.30000000000000004,0.05,0.015,0.25
2018-03-21,Zambia,Zimbabwe,2.0,2.0,Friendly,Ndola,Zambia,False,2018,Draw,1,2.0-2.0,0.4,0.3,0.222,0.778,1.0,0.6,1.2,1.2,1606.2932044199117,1502.1722538753281,104.1209505445836,0.407,0.276,90,90,0.4,0.0,0.009512851575441975,0.9090909090909091,2.2,1.7999999999999998,2.0,0.7,0.6,0.5,0.5,0.6499999999999999,0.5,0.325,0.556
2018-03-21,Madagascar,Togo,0.0,0.0,Friendly,Saint-Leu-la-Forêt,France,True,2018,Draw,0,0.0-0.0,0.3,0.3,0.5,0.5,1.1,1.2,1.2,1.5,1455.6878272723704,1474.4832701713292,-18.795442898958754,0.281,0.26,90,90,-0.09999999999999987,-0.30000000000000004,0.05051667725265194,1.0,2.3,2.7,2.5,0.5,0.5,0.3,0.4,0.5,0.35,0.175,0.25
2018-03-22,Burkina Faso,Guinea-Bissau,2.0,0.0,Friendly,Limeil-Brévannes,France,True,2018,Home win,0,2.0-0.0,0.2,0.0,0.5,0.5,1.2,1.4,0.6,1.5,1608.0896633319512,1345.8545919308397,262.23507140111155,0.197,0.0,90,90,-0.19999999999999996,-0.9,0.0037988858957027916,0.8333333333333334,1.7999999999999998,2.9,2.3499999999999996,0.5,0.7,0.3,0.1,0.6,0.2,0.12,0.25
